Total count, 9000000
;angle degrees, plus counts, neg counts, neither, total
0, 117.0, 12636.0, 0.0, 25116.0
1, 249.0, 24929.0, 0.0, 50085.0
2, 258.0, 24967.0, 0.0, 49913.0
3, 267.0, 25071.0, 0.0, 50356.0
4, 309.0, 24885.0, 0.0, 49811.0
5, 302.0, 25133.0, 0.0, 50213.0
6, 340.0, 25310.0, 0.0, 50191.0
7, 361.0, 24875.0, 0.0, 50122.0
8, 412.0, 24629.0, 0.0, 49595.0
9, 445.0, 24831.0, 0.0, 49822.0
10, 507.0, 25046.0, 0.0, 50081.0
11, 491.0, 25024.0, 0.0, 50150.0
12, 527.0, 25048.0, 0.0, 50083.0
13, 575.0, 24975.0, 0.0, 49731.0
14, 602.0, 24942.0, 0.0, 50345.0
15, 724.0, 24654.0, 0.0, 49867.0
16, 749.0, 24625.0, 0.0, 49951.0
17, 802.0, 24526.0, 0.0, 49975.0
18, 845.0, 24463.0, 0.0, 50010.0
19, 904.0, 24470.0, 0.0, 50046.0
20, 974.0, 24454.0, 0.0, 50099.0
21, 1056.0, 24399.0, 0.0, 50215.0
22, 1097.0, 24199.0, 0.0, 49978.0
23, 1208.0, 24149.0, 0.0, 50194.0
24, 1281.0, 24127.0, 0.0, 49971.0
25, 1367.0, 23988.0, 0.0, 50055.0
26, 1439.0, 23854.0, 0.0, 50318.0
27, 1478.0, 23568.0, 0.0, 50063.0
28, 1655.0, 23532.0, 0.0, 49818.0
29, 1684.0, 23346.0, 0.0, 50060.0
30, 1757.0, 23586.0, 0.0, 50303.0
31, 1936.0, 22747.0, 0.0, 49722.0
32, 1958.0, 23081.0, 0.0, 50198.0
33, 2016.0, 22602.0, 0.0, 49366.0
34, 2212.0, 22740.0, 0.0, 49886.0
35, 2326.0, 22665.0, 0.0, 50206.0
36, 2413.0, 22640.0, 0.0, 50203.0
37, 2459.0, 22150.0, 0.0, 49767.0
38, 2672.0, 22024.0, 0.0, 49784.0
39, 2744.0, 21895.0, 0.0, 49799.0
40, 2799.0, 21836.0, 0.0, 50204.0
41, 2938.0, 21768.0, 0.0, 50201.0
42, 3047.0, 21395.0, 0.0, 49787.0
43, 3226.0, 21347.0, 0.0, 50056.0
44, 3297.0, 21232.0, 0.0, 49715.0
45, 3475.0, 21086.0, 0.0, 50050.0
46, 3642.0, 21141.0, 0.0, 50292.0
47, 3819.0, 20972.0, 0.0, 50431.0
48, 3825.0, 20529.0, 0.0, 49964.0
49, 4129.0, 20395.0, 0.0, 50289.0
50, 4205.0, 20247.0, 0.0, 49997.0
51, 4343.0, 20147.0, 0.0, 50182.0
52, 4589.0, 19857.0, 0.0, 50174.0
53, 4748.0, 19611.0, 0.0, 49863.0
54, 4858.0, 19544.0, 0.0, 49926.0
55, 4960.0, 19307.0, 0.0, 50032.0
56, 5260.0, 19362.0, 0.0, 50101.0
57, 5523.0, 19149.0, 0.0, 50103.0
58, 5644.0, 18869.0, 0.0, 50106.0
59, 5914.0, 18777.0, 0.0, 50114.0
60, 5937.0, 18585.0, 0.0, 50053.0
61, 6273.0, 18358.0, 0.0, 49806.0
62, 6518.0, 18135.0, 0.0, 50114.0
63, 6797.0, 18116.0, 0.0, 50221.0
64, 6949.0, 17774.0, 0.0, 49735.0
65, 7130.0, 17742.0, 0.0, 50078.0
66, 7272.0, 17531.0, 0.0, 49953.0
67, 7582.0, 17213.0, 0.0, 50198.0
68, 7799.0, 16901.0, 0.0, 49618.0
69, 8113.0, 17097.0, 0.0, 50326.0
70, 8361.0, 16860.0, 0.0, 50320.0
71, 8588.0, 16733.0, 0.0, 49907.0
72, 8831.0, 16454.0, 0.0, 50236.0
73, 8775.0, 16166.0, 0.0, 49644.0
74, 9271.0, 15966.0, 0.0, 49752.0
75, 9362.0, 16004.0, 0.0, 50174.0
76, 9633.0, 15552.0, 0.0, 49517.0
77, 9863.0, 15612.0, 0.0, 50055.0
78, 10092.0, 15397.0, 0.0, 49970.0
79, 10259.0, 15057.0, 0.0, 50083.0
80, 10610.0, 14944.0, 0.0, 49987.0
81, 10768.0, 14652.0, 0.0, 50131.0
82, 11063.0, 14437.0, 0.0, 49988.0
83, 10965.0, 14119.0, 0.0, 49517.0
84, 11551.0, 14224.0, 0.0, 49905.0
85, 11620.0, 13786.0, 0.0, 49738.0
86, 11926.0, 13622.0, 0.0, 49789.0
87, 11929.0, 13357.0, 0.0, 49735.0
88, 12527.0, 13237.0, 0.0, 50118.0
89, 12571.0, 12974.0, 0.0, 49897.0
90, 12739.0, 12832.0, 0.0, 50044.0
91, 12925.0, 12476.0, 0.0, 49907.0
92, 13392.0, 12258.0, 0.0, 49827.0
93, 13581.0, 12140.0, 0.0, 50336.0
94, 13663.0, 11922.0, 0.0, 50128.0
95, 13853.0, 11549.0, 0.0, 49820.0
96, 13992.0, 11509.0, 0.0, 50033.0
97, 14262.0, 11118.0, 0.0, 49817.0
98, 14572.0, 10917.0, 0.0, 50185.0
99, 14817.0, 10831.0, 0.0, 50077.0
100, 15136.0, 10570.0, 0.0, 50627.0
101, 14795.0, 10105.0, 0.0, 49595.0
102, 15221.0, 10244.0, 0.0, 50146.0
103, 15468.0, 9766.0, 0.0, 49536.0
104, 15740.0, 9405.0, 0.0, 49934.0
105, 16047.0, 9463.0, 0.0, 50362.0
106, 15993.0, 9083.0, 0.0, 49552.0
107, 16161.0, 8883.0, 0.0, 49640.0
108, 16442.0, 8717.0, 0.0, 50229.0
109, 16692.0, 8629.0, 0.0, 50189.0
110, 16717.0, 8281.0, 0.0, 49795.0
111, 17104.0, 8052.0, 0.0, 50188.0
